dt,expect_num1(t-3),order_num2(t-3),order_money3(t-3),unit_price4(t-3),ssu_expect_sum5(t-3),ssu_warehouse_num6(t-3),warehouse_order_sum7(t-3),warehouse_company_num8(t-3),warehouse_order_money9(t-3),warehouse_ssu_num10(t-3),act_type11(t-3),is_act12(t-3),dayofweek13(t-3),month14(t-3),monthinyear15(t-3),dayinmonth16(t-3),expect_num_1d17(t-3),expect_num_r_1d18(t-3),order_num_1d19(t-3),order_num_r_1d20(t-3),order_money_1d21(t-3),order_money_r_1d22(t-3),unit_price_1d23(t-3),unit_price_r_1d24(t-3),ssu_expect_sum_1d25(t-3),ssu_expect_sum_r_1d26(t-3),ssu_warehouse_num_1d27(t-3),ssu_warehouse_num_r_1d28(t-3),warehouse_order_sum_1d29(t-3),warehouse_company_num_1d30(t-3),warehouse_order_money_1d31(t-3),warehouse_ssu_num_1d32(t-3),expect_num_2d33(t-3),expect_num_r_2d34(t-3),order_num_2d35(t-3),order_num_r_2d36(t-3),order_money_2d37(t-3),order_money_r_2d38(t-3),unit_price_2d39(t-3),unit_price_r_2d40(t-3),ssu_expect_sum_2d41(t-3),ssu_expect_sum_r_2d42(t-3),ssu_warehouse_num_2d43(t-3),ssu_warehouse_num_r_2d44(t-3),warehouse_order_sum_2d45(t-3),warehouse_company_num_2d46(t-3),warehouse_order_money_2d47(t-3),warehouse_ssu_num_2d48(t-3),expect_num1(t-2),order_num2(t-2),order_money3(t-2),unit_price4(t-2),ssu_expect_sum5(t-2),ssu_warehouse_num6(t-2),warehouse_order_sum7(t-2),warehouse_company_num8(t-2),warehouse_order_money9(t-2),warehouse_ssu_num10(t-2),act_type11(t-2),is_act12(t-2),dayofweek13(t-2),month14(t-2),monthinyear15(t-2),dayinmonth16(t-2),expect_num_1d17(t-2),expect_num_r_1d18(t-2),order_num_1d19(t-2),order_num_r_1d20(t-2),order_money_1d21(t-2),order_money_r_1d22(t-2),unit_price_1d23(t-2),unit_price_r_1d24(t-2),ssu_expect_sum_1d25(t-2),ssu_expect_sum_r_1d26(t-2),ssu_warehouse_num_1d27(t-2),ssu_warehouse_num_r_1d28(t-2),warehouse_order_sum_1d29(t-2),warehouse_company_num_1d30(t-2),warehouse_order_money_1d31(t-2),warehouse_ssu_num_1d32(t-2),expect_num_2d33(t-2),expect_num_r_2d34(t-2),order_num_2d35(t-2),order_num_r_2d36(t-2),order_money_2d37(t-2),order_money_r_2d38(t-2),unit_price_2d39(t-2),unit_price_r_2d40(t-2),ssu_expect_sum_2d41(t-2),ssu_expect_sum_r_2d42(t-2),ssu_warehouse_num_2d43(t-2),ssu_warehouse_num_r_2d44(t-2),warehouse_order_sum_2d45(t-2),warehouse_company_num_2d46(t-2),warehouse_order_money_2d47(t-2),warehouse_ssu_num_2d48(t-2),expect_num1(t-1),order_num2(t-1),order_money3(t-1),unit_price4(t-1),ssu_expect_sum5(t-1),ssu_warehouse_num6(t-1),warehouse_order_sum7(t-1),warehouse_company_num8(t-1),warehouse_order_money9(t-1),warehouse_ssu_num10(t-1),act_type11(t-1),is_act12(t-1),dayofweek13(t-1),month14(t-1),monthinyear15(t-1),dayinmonth16(t-1),expect_num_1d17(t-1),expect_num_r_1d18(t-1),order_num_1d19(t-1),order_num_r_1d20(t-1),order_money_1d21(t-1),order_money_r_1d22(t-1),unit_price_1d23(t-1),unit_price_r_1d24(t-1),ssu_expect_sum_1d25(t-1),ssu_expect_sum_r_1d26(t-1),ssu_warehouse_num_1d27(t-1),ssu_warehouse_num_r_1d28(t-1),warehouse_order_sum_1d29(t-1),warehouse_company_num_1d30(t-1),warehouse_order_money_1d31(t-1),warehouse_ssu_num_1d32(t-1),expect_num_2d33(t-1),expect_num_r_2d34(t-1),order_num_2d35(t-1),order_num_r_2d36(t-1),order_money_2d37(t-1),order_money_r_2d38(t-1),unit_price_2d39(t-1),unit_price_r_2d40(t-1),ssu_expect_sum_2d41(t-1),ssu_expect_sum_r_2d42(t-1),ssu_warehouse_num_2d43(t-1),ssu_warehouse_num_r_2d44(t-1),warehouse_order_sum_2d45(t-1),warehouse_company_num_2d46(t-1),warehouse_order_money_2d47(t-1),warehouse_ssu_num_2d48(t-1),expect_num1(t)
2018-01-04,79.0,68.0,9164.0,116.0,79.0,1.0,2395.0,2193.0,376695.945,433.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,83.0,11484.0,116.0,99.0,1.0,2894.0,2576.0,429972.23,450.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,0.20202020202020202,15.0,0.18072289156626506,2320.0,0.20202020202020202,0.0,0.0,20.0,0.20202020202020202,0.0,0.0,499.0,383.0,53276.284999999974,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,85.0,12064.0,116.0,104.0,1.0,2973.0,2650.0,466250.34,447.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,0.04807692307692308,2.0,0.023529411764705882,580.0,0.04807692307692308,0.0,0.0,5.0,0.04807692307692308,0.0,0.0,79.0,74.0,36278.110000000044,-3.0,25.0,0.2403846153846154,17.0,0.2,2900.0,0.2403846153846154,0.0,0.0,25.0,0.2403846153846154,0.0,0.0,578.0,457.0,89554.39500000002,14.0,72
2018-01-05,99.0,83.0,11484.0,116.0,99.0,1.0,2894.0,2576.0,429972.23,450.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,0.20202020202020202,15.0,0.18072289156626506,2320.0,0.20202020202020202,0.0,0.0,20.0,0.20202020202020202,0.0,0.0,499.0,383.0,53276.284999999974,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,85.0,12064.0,116.0,104.0,1.0,2973.0,2650.0,466250.34,447.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,0.04807692307692308,2.0,0.023529411764705882,580.0,0.04807692307692308,0.0,0.0,5.0,0.04807692307692308,0.0,0.0,79.0,74.0,36278.110000000044,-3.0,25.0,0.2403846153846154,17.0,0.2,2900.0,0.2403846153846154,0.0,0.0,25.0,0.2403846153846154,0.0,0.0,578.0,457.0,89554.39500000002,14.0,72.0,66.0,8352.0,116.0,72.0,1.0,2689.0,2443.0,396510.32,444.0,0.0,0.0,3.0,1.0,0.0,0.0,-32.0,-0.4444444444444444,-19.0,-0.2878787878787879,-3712.0,-0.4444444444444444,0.0,0.0,-32.0,-0.4444444444444444,0.0,0.0,-284.0,-207.0,-69740.02000000002,-3.0,-27.0,-0.375,-17.0,-0.25757575757575757,-3132.0,-0.375,0.0,0.0,-27.0,-0.375,0.0,0.0,-205.0,-133.0,-33461.909999999974,-6.0,91
2018-01-06,104.0,85.0,12064.0,116.0,104.0,1.0,2973.0,2650.0,466250.34,447.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,0.04807692307692308,2.0,0.023529411764705882,580.0,0.04807692307692308,0.0,0.0,5.0,0.04807692307692308,0.0,0.0,79.0,74.0,36278.110000000044,-3.0,25.0,0.2403846153846154,17.0,0.2,2900.0,0.2403846153846154,0.0,0.0,25.0,0.2403846153846154,0.0,0.0,578.0,457.0,89554.39500000002,14.0,72.0,66.0,8352.0,116.0,72.0,1.0,2689.0,2443.0,396510.32,444.0,0.0,0.0,3.0,1.0,0.0,0.0,-32.0,-0.4444444444444444,-19.0,-0.2878787878787879,-3712.0,-0.4444444444444444,0.0,0.0,-32.0,-0.4444444444444444,0.0,0.0,-284.0,-207.0,-69740.02000000002,-3.0,-27.0,-0.375,-17.0,-0.25757575757575757,-3132.0,-0.375,0.0,0.0,-27.0,-0.375,0.0,0.0,-205.0,-133.0,-33461.909999999974,-6.0,91.0,70.0,10556.0,116.0,91.0,1.0,2599.0,2372.0,431150.435,449.0,0.0,0.0,4.0,1.0,0.0,0.0,19.0,0.2087912087912088,4.0,0.05714285714285714,2204.0,0.2087912087912088,0.0,0.0,19.0,0.2087912087912088,0.0,0.0,-90.0,-71.0,34640.11499999999,5.0,-13.0,-0.14285714285714285,-15.0,-0.21428571428571427,-1508.0,-0.14285714285714285,0.0,0.0,-13.0,-0.14285714285714285,0.0,0.0,-374.0,-278.0,-35099.90500000003,2.0,83
2018-01-07,72.0,66.0,8352.0,116.0,72.0,1.0,2689.0,2443.0,396510.32,444.0,0.0,0.0,3.0,1.0,0.0,0.0,-32.0,-0.4444444444444444,-19.0,-0.2878787878787879,-3712.0,-0.4444444444444444,0.0,0.0,-32.0,-0.4444444444444444,0.0,0.0,-284.0,-207.0,-69740.02000000002,-3.0,-27.0,-0.375,-17.0,-0.25757575757575757,-3132.0,-0.375,0.0,0.0,-27.0,-0.375,0.0,0.0,-205.0,-133.0,-33461.909999999974,-6.0,91.0,70.0,10556.0,116.0,91.0,1.0,2599.0,2372.0,431150.435,449.0,0.0,0.0,4.0,1.0,0.0,0.0,19.0,0.2087912087912088,4.0,0.05714285714285714,2204.0,0.2087912087912088,0.0,0.0,19.0,0.2087912087912088,0.0,0.0,-90.0,-71.0,34640.11499999999,5.0,-13.0,-0.14285714285714285,-15.0,-0.21428571428571427,-1508.0,-0.14285714285714285,0.0,0.0,-13.0,-0.14285714285714285,0.0,0.0,-374.0,-278.0,-35099.90500000003,2.0,83.0,62.0,9628.0,116.0,83.0,1.0,2483.0,2248.0,347074.06,437.0,0.0,0.0,5.0,1.0,0.0,0.0,-8.0,-0.0963855421686747,-8.0,-0.12903225806451613,-928.0,-0.0963855421686747,0.0,0.0,-8.0,-0.0963855421686747,0.0,0.0,-116.0,-124.0,-84076.375,-12.0,11.0,0.13253012048192772,-4.0,-0.06451612903225806,1276.0,0.13253012048192772,0.0,0.0,11.0,0.13253012048192772,0.0,0.0,-206.0,-195.0,-49436.26000000001,-7.0,62
2018-01-08,91.0,70.0,10556.0,116.0,91.0,1.0,2599.0,2372.0,431150.435,449.0,0.0,0.0,4.0,1.0,0.0,0.0,19.0,0.2087912087912088,4.0,0.05714285714285714,2204.0,0.2087912087912088,0.0,0.0,19.0,0.2087912087912088,0.0,0.0,-90.0,-71.0,34640.11499999999,5.0,-13.0,-0.14285714285714285,-15.0,-0.21428571428571427,-1508.0,-0.14285714285714285,0.0,0.0,-13.0,-0.14285714285714285,0.0,0.0,-374.0,-278.0,-35099.90500000003,2.0,83.0,62.0,9628.0,116.0,83.0,1.0,2483.0,2248.0,347074.06,437.0,0.0,0.0,5.0,1.0,0.0,0.0,-8.0,-0.0963855421686747,-8.0,-0.12903225806451613,-928.0,-0.0963855421686747,0.0,0.0,-8.0,-0.0963855421686747,0.0,0.0,-116.0,-124.0,-84076.375,-12.0,11.0,0.13253012048192772,-4.0,-0.06451612903225806,1276.0,0.13253012048192772,0.0,0.0,11.0,0.13253012048192772,0.0,0.0,-206.0,-195.0,-49436.26000000001,-7.0,62.0,53.0,7192.0,116.0,62.0,1.0,3010.0,2698.0,612783.525,450.0,0.0,0.0,6.0,1.0,0.0,0.0,-21.0,-0.3387096774193548,-9.0,-0.16981132075471697,-2436.0,-0.3387096774193548,0.0,0.0,-21.0,-0.3387096774193548,0.0,0.0,527.0,450.0,265709.465,13.0,-29.0,-0.46774193548387094,-17.0,-0.32075471698113206,-3364.0,-0.46774193548387094,0.0,0.0,-29.0,-0.46774193548387094,0.0,0.0,411.0,326.0,181633.09000000003,1.0,71
2018-01-09,83.0,62.0,9628.0,116.0,83.0,1.0,2483.0,2248.0,347074.06,437.0,0.0,0.0,5.0,1.0,0.0,0.0,-8.0,-0.0963855421686747,-8.0,-0.12903225806451613,-928.0,-0.0963855421686747,0.0,0.0,-8.0,-0.0963855421686747,0.0,0.0,-116.0,-124.0,-84076.375,-12.0,11.0,0.13253012048192772,-4.0,-0.06451612903225806,1276.0,0.13253012048192772,0.0,0.0,11.0,0.13253012048192772,0.0,0.0,-206.0,-195.0,-49436.26000000001,-7.0,62.0,53.0,7192.0,116.0,62.0,1.0,3010.0,2698.0,612783.525,450.0,0.0,0.0,6.0,1.0,0.0,0.0,-21.0,-0.3387096774193548,-9.0,-0.16981132075471697,-2436.0,-0.3387096774193548,0.0,0.0,-21.0,-0.3387096774193548,0.0,0.0,527.0,450.0,265709.465,13.0,-29.0,-0.46774193548387094,-17.0,-0.32075471698113206,-3364.0,-0.46774193548387094,0.0,0.0,-29.0,-0.46774193548387094,0.0,0.0,411.0,326.0,181633.09000000003,1.0,71.0,61.0,8236.0,116.0,71.0,1.0,2759.0,2497.0,373058.405,441.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.1267605633802817,8.0,0.13114754098360656,1044.0,0.1267605633802817,0.0,0.0,9.0,0.1267605633802817,0.0,0.0,-251.0,-201.0,-239725.12,-9.0,-12.0,-0.16901408450704225,-1.0,-0.01639344262295082,-1392.0,-0.16901408450704225,0.0,0.0,-12.0,-0.16901408450704225,0.0,0.0,276.0,249.0,25984.34500000003,4.0,66
2018-01-10,62.0,53.0,7192.0,116.0,62.0,1.0,3010.0,2698.0,612783.525,450.0,0.0,0.0,6.0,1.0,0.0,0.0,-21.0,-0.3387096774193548,-9.0,-0.16981132075471697,-2436.0,-0.3387096774193548,0.0,0.0,-21.0,-0.3387096774193548,0.0,0.0,527.0,450.0,265709.465,13.0,-29.0,-0.46774193548387094,-17.0,-0.32075471698113206,-3364.0,-0.46774193548387094,0.0,0.0,-29.0,-0.46774193548387094,0.0,0.0,411.0,326.0,181633.09000000003,1.0,71.0,61.0,8236.0,116.0,71.0,1.0,2759.0,2497.0,373058.405,441.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.1267605633802817,8.0,0.13114754098360656,1044.0,0.1267605633802817,0.0,0.0,9.0,0.1267605633802817,0.0,0.0,-251.0,-201.0,-239725.12,-9.0,-12.0,-0.16901408450704225,-1.0,-0.01639344262295082,-1392.0,-0.16901408450704225,0.0,0.0,-12.0,-0.16901408450704225,0.0,0.0,276.0,249.0,25984.34500000003,4.0,66.0,59.0,7656.0,116.0,66.0,1.0,2595.0,2376.0,365267.715,444.0,0.0,0.0,1.0,1.0,0.0,0.0,-5.0,-0.07575757575757576,-2.0,-0.03389830508474576,-580.0,-0.07575757575757576,0.0,0.0,-5.0,-0.07575757575757576,0.0,0.0,-164.0,-121.0,-7790.690000000002,3.0,4.0,0.06060606060606061,6.0,0.1016949152542373,464.0,0.06060606060606061,0.0,0.0,4.0,0.06060606060606061,0.0,0.0,-415.0,-322.0,-247515.81,-6.0,61
2018-01-11,71.0,61.0,8236.0,116.0,71.0,1.0,2759.0,2497.0,373058.405,441.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.1267605633802817,8.0,0.13114754098360656,1044.0,0.1267605633802817,0.0,0.0,9.0,0.1267605633802817,0.0,0.0,-251.0,-201.0,-239725.12,-9.0,-12.0,-0.16901408450704225,-1.0,-0.01639344262295082,-1392.0,-0.16901408450704225,0.0,0.0,-12.0,-0.16901408450704225,0.0,0.0,276.0,249.0,25984.34500000003,4.0,66.0,59.0,7656.0,116.0,66.0,1.0,2595.0,2376.0,365267.715,444.0,0.0,0.0,1.0,1.0,0.0,0.0,-5.0,-0.07575757575757576,-2.0,-0.03389830508474576,-580.0,-0.07575757575757576,0.0,0.0,-5.0,-0.07575757575757576,0.0,0.0,-164.0,-121.0,-7790.690000000002,3.0,4.0,0.06060606060606061,6.0,0.1016949152542373,464.0,0.06060606060606061,0.0,0.0,4.0,0.06060606060606061,0.0,0.0,-415.0,-322.0,-247515.81,-6.0,61.0,54.0,7076.0,116.0,61.0,1.0,3021.0,2732.0,612844.725,452.0,0.0,0.0,2.0,1.0,0.0,0.0,-5.0,-0.08196721311475409,-5.0,-0.09259259259259259,-580.0,-0.08196721311475409,0.0,0.0,-5.0,-0.08196721311475409,0.0,0.0,426.0,356.0,247577.00999999995,8.0,-10.0,-0.16393442622950818,-7.0,-0.12962962962962962,-1160.0,-0.16393442622950818,0.0,0.0,-10.0,-0.16393442622950818,0.0,0.0,262.0,235.0,239786.31999999995,11.0,50
2018-01-12,66.0,59.0,7656.0,116.0,66.0,1.0,2595.0,2376.0,365267.715,444.0,0.0,0.0,1.0,1.0,0.0,0.0,-5.0,-0.07575757575757576,-2.0,-0.03389830508474576,-580.0,-0.07575757575757576,0.0,0.0,-5.0,-0.07575757575757576,0.0,0.0,-164.0,-121.0,-7790.690000000002,3.0,4.0,0.06060606060606061,6.0,0.1016949152542373,464.0,0.06060606060606061,0.0,0.0,4.0,0.06060606060606061,0.0,0.0,-415.0,-322.0,-247515.81,-6.0,61.0,54.0,7076.0,116.0,61.0,1.0,3021.0,2732.0,612844.725,452.0,0.0,0.0,2.0,1.0,0.0,0.0,-5.0,-0.08196721311475409,-5.0,-0.09259259259259259,-580.0,-0.08196721311475409,0.0,0.0,-5.0,-0.08196721311475409,0.0,0.0,426.0,356.0,247577.00999999995,8.0,-10.0,-0.16393442622950818,-7.0,-0.12962962962962962,-1160.0,-0.16393442622950818,0.0,0.0,-10.0,-0.16393442622950818,0.0,0.0,262.0,235.0,239786.31999999995,11.0,50.0,45.0,5947.0,118.93,50.0,1.0,2534.0,2316.0,365758.225,454.0,0.0,0.0,3.0,1.0,0.0,0.0,-11.0,-0.22,-9.0,-0.2,-1129.0,-0.18984361863124263,2.930000000000007,0.024636340704616216,-11.0,-0.22,0.0,0.0,-487.0,-416.0,-247086.5,2.0,-16.0,-0.32,-14.0,-0.3111111111111111,-1709.0,-0.2873717840928199,2.930000000000007,0.024636340704616216,-16.0,-0.32,0.0,0.0,-61.0,-60.0,490.5099999999511,10.0,43
2018-01-13,61.0,54.0,7076.0,116.0,61.0,1.0,3021.0,2732.0,612844.725,452.0,0.0,0.0,2.0,1.0,0.0,0.0,-5.0,-0.08196721311475409,-5.0,-0.09259259259259259,-580.0,-0.08196721311475409,0.0,0.0,-5.0,-0.08196721311475409,0.0,0.0,426.0,356.0,247577.00999999995,8.0,-10.0,-0.16393442622950818,-7.0,-0.12962962962962962,-1160.0,-0.16393442622950818,0.0,0.0,-10.0,-0.16393442622950818,0.0,0.0,262.0,235.0,239786.31999999995,11.0,50.0,45.0,5947.0,118.93,50.0,1.0,2534.0,2316.0,365758.225,454.0,0.0,0.0,3.0,1.0,0.0,0.0,-11.0,-0.22,-9.0,-0.2,-1129.0,-0.18984361863124263,2.930000000000007,0.024636340704616216,-11.0,-0.22,0.0,0.0,-487.0,-416.0,-247086.5,2.0,-16.0,-0.32,-14.0,-0.3111111111111111,-1709.0,-0.2873717840928199,2.930000000000007,0.024636340704616216,-16.0,-0.32,0.0,0.0,-61.0,-60.0,490.5099999999511,10.0,43.0,38.0,5117.0,119.0,43.0,1.0,2241.0,2067.0,322856.56,451.0,0.0,0.0,4.0,1.0,0.0,0.0,-7.0,-0.16279069767441862,-7.0,-0.18421052631578946,-830.0,-0.16220441665038107,0.06999999999999318,0.0005882352941175898,-7.0,-0.16279069767441862,0.0,0.0,-293.0,-249.0,-42901.66499999998,-3.0,-18.0,-0.4186046511627907,-16.0,-0.42105263157894735,-1959.0,-0.38284150869650185,3.0,0.025210084033613446,-18.0,-0.4186046511627907,0.0,0.0,-780.0,-665.0,-289988.165,-1.0,30
